nohup: ignoring input
Total docs (missing docs only): 2255299
Processed 380000/2255299 (16.85%) | 3711.6 docs/s | ETA 00:08:25
Committed intermediate batch
Processed 382000/2255299 (16.94%) | 3697.7 docs/s | ETA 00:08:26
Processed 384000/2255299 (17.03%) | 3702.7 docs/s | ETA 00:08:25
Processed 386000/2255299 (17.12%) | 3707.8 docs/s | ETA 00:08:24
Processed 388000/2255299 (17.20%) | 3710.8 docs/s | ETA 00:08:23
Processed 390000/2255299 (17.29%) | 3711.5 docs/s | ETA 00:08:22
Processed 392000/2255299 (17.38%) | 3715.3 docs/s | ETA 00:08:21
Processed 394000/2255299 (17.47%) | 3720.0 docs/s | ETA 00:08:20
Processed 396000/2255299 (17.56%) | 3724.8 docs/s | ETA 00:08:19
Processed 398000/2255299 (17.65%) | 3728.7 docs/s | ETA 00:08:18
Processed 400000/2255299 (17.74%) | 3732.3 docs/s | ETA 00:08:17
Committed intermediate batch
Processed 402000/2255299 (17.82%) | 3719.9 docs/s | ETA 00:08:18
Processed 404000/2255299 (17.91%) | 3722.5 docs/s | ETA 00:08:17
Processed 406000/2255299 (18.00%) | 3725.5 docs/s | ETA 00:08:16
Processed 408000/2255299 (18.09%) | 3728.5 docs/s | ETA 00:08:15
Processed 410000/2255299 (18.18%) | 3730.3 docs/s | ETA 00:08:14
Processed 412000/2255299 (18.27%) | 3732.8 docs/s | ETA 00:08:13
Processed 414000/2255299 (18.36%) | 3735.2 docs/s | ETA 00:08:12
Processed 416000/2255299 (18.45%) | 3735.8 docs/s | ETA 00:08:12
Processed 418000/2255299 (18.53%) | 3739.1 docs/s | ETA 00:08:11
Processed 420000/2255299 (18.62%) | 3743.1 docs/s | ETA 00:08:10
Committed intermediate batch
Processed 422000/2255299 (18.71%) | 3727.4 docs/s | ETA 00:08:11
Processed 424000/2255299 (18.80%) | 3730.6 docs/s | ETA 00:08:10
Processed 426000/2255299 (18.89%) | 3734.2 docs/s | ETA 00:08:09
Processed 428000/2255299 (18.98%) | 3737.9 docs/s | ETA 00:08:08
Processed 430000/2255299 (19.07%) | 3740.9 docs/s | ETA 00:08:07
Processed 432000/2255299 (19.15%) | 3743.4 docs/s | ETA 00:08:07
Processed 434000/2255299 (19.24%) | 3746.2 docs/s | ETA 00:08:06
Processed 436000/2255299 (19.33%) | 3749.5 docs/s | ETA 00:08:05
Processed 438000/2255299 (19.42%) | 3752.8 docs/s | ETA 00:08:04
Processed 440000/2255299 (19.51%) | 3756.3 docs/s | ETA 00:08:03
Committed intermediate batch
Processed 442000/2255299 (19.60%) | 3745.6 docs/s | ETA 00:08:04
Processed 444000/2255299 (19.69%) | 3749.6 docs/s | ETA 00:08:03
Processed 446000/2255299 (19.78%) | 3752.9 docs/s | ETA 00:08:02
Processed 448000/2255299 (19.86%) | 3756.5 docs/s | ETA 00:08:01
Processed 450000/2255299 (19.95%) | 3758.9 docs/s | ETA 00:08:00
Processed 452000/2255299 (20.04%) | 3761.3 docs/s | ETA 00:07:59
Processed 454000/2255299 (20.13%) | 3764.0 docs/s | ETA 00:07:58
Processed 456000/2255299 (20.22%) | 3767.3 docs/s | ETA 00:07:57
Processed 458000/2255299 (20.31%) | 3770.5 docs/s | ETA 00:07:56
Processed 460000/2255299 (20.40%) | 3773.1 docs/s | ETA 00:07:55
Committed intermediate batch
Processed 462000/2255299 (20.49%) | 3759.1 docs/s | ETA 00:07:57
Processed 464000/2255299 (20.57%) | 3761.9 docs/s | ETA 00:07:56
Processed 466000/2255299 (20.66%) | 3765.7 docs/s | ETA 00:07:55
Processed 468000/2255299 (20.75%) | 3769.2 docs/s | ETA 00:07:54
Processed 470000/2255299 (20.84%) | 3771.1 docs/s | ETA 00:07:53
Processed 472000/2255299 (20.93%) | 3773.3 docs/s | ETA 00:07:52
Processed 474000/2255299 (21.02%) | 3775.9 docs/s | ETA 00:07:51
Processed 476000/2255299 (21.11%) | 3778.5 docs/s | ETA 00:07:50
Processed 478000/2255299 (21.19%) | 3780.8 docs/s | ETA 00:07:50
Processed 480000/2255299 (21.28%) | 3783.8 docs/s | ETA 00:07:49
Committed intermediate batch
Processed 482000/2255299 (21.37%) | 3773.4 docs/s | ETA 00:07:49
Processed 484000/2255299 (21.46%) | 3775.4 docs/s | ETA 00:07:49
Processed 486000/2255299 (21.55%) | 3778.6 docs/s | ETA 00:07:48
Processed 488000/2255299 (21.64%) | 3781.7 docs/s | ETA 00:07:47
Processed 490000/2255299 (21.73%) | 3783.5 docs/s | ETA 00:07:46
Processed 492000/2255299 (21.82%) | 3784.6 docs/s | ETA 00:07:45
Processed 494000/2255299 (21.90%) | 3786.7 docs/s | ETA 00:07:45
Processed 496000/2255299 (21.99%) | 3789.3 docs/s | ETA 00:07:44
Processed 498000/2255299 (22.08%) | 3791.0 docs/s | ETA 00:07:43
Processed 500000/2255299 (22.17%) | 3792.8 docs/s | ETA 00:07:42
Committed intermediate batch
Processed 502000/2255299 (22.26%) | 3780.6 docs/s | ETA 00:07:43
Processed 504000/2255299 (22.35%) | 3783.5 docs/s | ETA 00:07:42
Processed 506000/2255299 (22.44%) | 3784.8 docs/s | ETA 00:07:42
Processed 508000/2255299 (22.52%) | 3787.3 docs/s | ETA 00:07:41
Processed 510000/2255299 (22.61%) | 3789.5 docs/s | ETA 00:07:40
Processed 512000/2255299 (22.70%) | 3792.4 docs/s | ETA 00:07:39
Processed 514000/2255299 (22.79%) | 3794.2 docs/s | ETA 00:07:38
Processed 516000/2255299 (22.88%) | 3795.8 docs/s | ETA 00:07:38
Processed 518000/2255299 (22.97%) | 3799.1 docs/s | ETA 00:07:37
Processed 520000/2255299 (23.06%) | 3801.7 docs/s | ETA 00:07:36
Committed intermediate batch
Processed 522000/2255299 (23.15%) | 3791.8 docs/s | ETA 00:07:37
Processed 524000/2255299 (23.23%) | 3794.2 docs/s | ETA 00:07:36
Processed 526000/2255299 (23.32%) | 3797.3 docs/s | ETA 00:07:35
Processed 528000/2255299 (23.41%) | 3799.3 docs/s | ETA 00:07:34
Processed 530000/2255299 (23.50%) | 3802.0 docs/s | ETA 00:07:33
Processed 532000/2255299 (23.59%) | 3804.2 docs/s | ETA 00:07:32
Processed 534000/2255299 (23.68%) | 3806.9 docs/s | ETA 00:07:32
Processed 536000/2255299 (23.77%) | 3809.7 docs/s | ETA 00:07:31
Processed 538000/2255299 (23.85%) | 3811.9 docs/s | ETA 00:07:30
Processed 540000/2255299 (23.94%) | 3814.1 docs/s | ETA 00:07:29
Committed intermediate batch
Processed 542000/2255299 (24.03%) | 3804.6 docs/s | ETA 00:07:30
Processed 544000/2255299 (24.12%) | 3806.8 docs/s | ETA 00:07:29
Processed 546000/2255299 (24.21%) | 3809.1 docs/s | ETA 00:07:28
Processed 548000/2255299 (24.30%) | 3812.4 docs/s | ETA 00:07:27
Processed 550000/2255299 (24.39%) | 3814.7 docs/s | ETA 00:07:27
Processed 552000/2255299 (24.48%) | 3815.8 docs/s | ETA 00:07:26
Processed 554000/2255299 (24.56%) | 3817.9 docs/s | ETA 00:07:25
Processed 556000/2255299 (24.65%) | 3820.2 docs/s | ETA 00:07:24
Processed 558000/2255299 (24.74%) | 3822.9 docs/s | ETA 00:07:23
Processed 560000/2255299 (24.83%) | 3825.4 docs/s | ETA 00:07:23
Committed intermediate batch
Processed 562000/2255299 (24.92%) | 3816.3 docs/s | ETA 00:07:23
Processed 564000/2255299 (25.01%) | 3819.6 docs/s | ETA 00:07:22
Processed 566000/2255299 (25.10%) | 3822.4 docs/s | ETA 00:07:21
Processed 568000/2255299 (25.19%) | 3824.9 docs/s | ETA 00:07:21
Processed 570000/2255299 (25.27%) | 3827.3 docs/s | ETA 00:07:20
Processed 572000/2255299 (25.36%) | 3830.6 docs/s | ETA 00:07:19
Processed 574000/2255299 (25.45%) | 3833.6 docs/s | ETA 00:07:18
Processed 576000/2255299 (25.54%) | 3836.1 docs/s | ETA 00:07:17
Processed 578000/2255299 (25.63%) | 3838.8 docs/s | ETA 00:07:16
Processed 580000/2255299 (25.72%) | 3841.0 docs/s | ETA 00:07:16
Committed intermediate batch
Processed 582000/2255299 (25.81%) | 3830.0 docs/s | ETA 00:07:16
Processed 584000/2255299 (25.89%) | 3832.5 docs/s | ETA 00:07:16
Processed 586000/2255299 (25.98%) | 3833.9 docs/s | ETA 00:07:15
Processed 588000/2255299 (26.07%) | 3836.6 docs/s | ETA 00:07:14
Processed 590000/2255299 (26.16%) | 3838.3 docs/s | ETA 00:07:13
Processed 592000/2255299 (26.25%) | 3840.8 docs/s | ETA 00:07:13
Processed 594000/2255299 (26.34%) | 3843.5 docs/s | ETA 00:07:12
Processed 596000/2255299 (26.43%) | 3846.3 docs/s | ETA 00:07:11
Processed 598000/2255299 (26.52%) | 3848.9 docs/s | ETA 00:07:10
Processed 600000/2255299 (26.60%) | 3850.9 docs/s | ETA 00:07:09
Committed intermediate batch
Processed 602000/2255299 (26.69%) | 3839.0 docs/s | ETA 00:07:10
